modified,publisher.name,publisher.subOrganizationOf.name,contactPoint.fn,keyword
2015-11-16,General Services Administration,,Cindy Smith,<nil>
2018-10-09,General Services Administration,,Bill Shah,Interactive
2018-10-09,General Services Administration,,Bill Shah,building
2018-10-09,General Services Administration,,Bill Shah,findings
2018-10-09,General Services Administration,,Bill Shah,fire
2018-10-09,General Services Administration,,Bill Shah,osha
2018-10-09,General Services Administration,,Bill Shah,safety
2018-10-09,General Services Administration,,Bill Shah,sem
2018-10-09,General Services Administration,,Bill Shah,survey
2018-10-09,General Services Administration,,Bill Shah,<nil>
2016-01-20,General Services Administration,,Hyon Joo Kim,Data.gov
2016-01-20,General Services Administration,,Hyon Joo Kim,Dataset
2016-01-20,General Services Administration,,Hyon Joo Kim,Downloads
2016-01-20,General Services Administration,,Hyon Joo Kim,Interactive
2016-01-20,General Services Administration,,Hyon Joo Kim,Monthly
2016-01-20,General Services Administration,,Hyon Joo Kim,<nil>
2016-01-20,General Services Administration,,Hyon Joo Kim,Countries
2016-01-20,General Services Administration,,Hyon Joo Kim,Interactive
2016-01-20,General Services Administration,,Hyon Joo Kim,<nil>
2016-01-20,General Services Administration,,Hyon Joo Kim,Daily
2016-01-20,General Services Administration,,Hyon Joo Kim,Interactive
2016-01-20,General Services Administration,,Hyon Joo Kim,Statistics
2016-01-20,General Services Administration,,Hyon Joo Kim,Visitor
2016-01-20,General Services Administration,,Hyon Joo Kim,<nil>
2016-01-20,General Services Administration,,Hyon Joo Kim,Interactive
2016-01-20,General Services Administration,,Hyon Joo Kim,monthly
2016-01-20,General Services Administration,,Hyon Joo Kim,statistics
2016-01-20,General Services Administration,,Hyon Joo Kim,visitor
2016-01-20,General Services Administration,,Hyon Joo Kim,<nil>
2016-01-20,General Services Administration,,Hyon Joo Kim,Agency interactive
2016-01-20,General Services Administration,,Hyon Joo Kim,federal
2016-01-20,General Services Administration,,Hyon Joo Kim,participation
2016-01-20,General Services Administration,,Hyon Joo Kim,<nil>
2016-01-20,General Services Administration,,Hyon Joo Kim,interactive
2016-01-20,General Services Administration,,Hyon Joo Kim,page
2016-01-20,General Services Administration,,Hyon Joo Kim,views
2016-01-20,General Services Administration,,Hyon Joo Kim,<nil>
2016-01-20,General Services Administration,,Hyon Joo Kim,agencies
2016-01-20,General Services Administration,,Hyon Joo Kim,interactive data
2016-01-20,General Services Administration,,Hyon Joo Kim,monthly
2016-01-20,General Services Administration,,Hyon Joo Kim,uploaded
2016-01-20,General Services Administration,,Hyon Joo Kim,<nil>
2016-01-21,General Services Administration,,Murugaboopathi Natarajan (IAG-C),FAS
2016-01-21,General Services Administration,,Murugaboopathi Natarajan (IAG-C),Interactive
2016-01-21,General Services Administration,,Murugaboopathi Natarajan (IAG-C),contracting
2016-01-21,General Services Administration,,Murugaboopathi Natarajan (IAG-C),opportunities
2016-01-21,General Services Administration,,Murugaboopathi Natarajan (IAG-C),<nil>
2016-01-21,General Services Administration,,Hyon Joo Kim,Interactive
2016-01-21,General Services Administration,,Hyon Joo Kim,states
2016-01-21,General Services Administration,,Hyon Joo Kim,<nil>
2016-01-20,General Services Administration,,Hyon Joo Kim,Category
2016-01-20,General Services Administration,,Hyon Joo Kim,Data.gov
2016-01-20,General Services Administration,,Hyon Joo Kim,Interactive
2016-01-20,General Services Administration,,Hyon Joo Kim,datasets
2016-01-20,General Services Administration,,Hyon Joo Kim,download
2016-01-20,General Services Administration,,Hyon Joo Kim,<nil>
2020-08-04,General Services Administration,,Nancy V Hexmoor,april
2020-08-04,General Services Administration,,Nancy V Hexmoor,june
2020-08-04,General Services Administration,,Nancy V Hexmoor,may
2020-08-04,General Services Administration,,Nancy V Hexmoor,purchase card
2020-08-04,General Services Administration,,Nancy V Hexmoor,transactions
2020-08-04,General Services Administration,,Nancy V Hexmoor,<nil>
2020-08-05,General Services Administration,,James G Parks,BOCA
2020-08-05,General Services Administration,,James G Parks,Contract Board
2020-08-05,General Services Administration,,James G Parks,GSA SmartPay
2020-08-05,General Services Administration,,James G Parks,Purchase Card
2020-08-05,General Services Administration,,James G Parks,Transactions
2020-08-05,General Services Administration,,James G Parks,april
2020-08-05,General Services Administration,,James G Parks,june
2020-08-05,General Services Administration,,James G Parks,may
2020-08-05,General Services Administration,,James G Parks,<nil>
2020-08-14,General Services Administration,,Toni L Holloway,Contract
2020-08-14,General Services Administration,,Toni L Holloway,Networx Telecommunications
2020-08-14,General Services Administration,,Toni L Holloway,Telecommunications
2020-08-14,General Services Administration,,Toni L Holloway,<nil>
2020-11-18,Office of Government-wide Policy,General Services Administration,Elizabeth Fahey,FRPP
2020-11-18,Office of Government-wide Policy,General Services Administration,Elizabeth Fahey,Federal Real Property Profile
2020-11-18,Office of Government-wide Policy,General Services Administration,Elizabeth Fahey,GSA
2020-11-18,Office of Government-wide Policy,General Services Administration,Elizabeth Fahey,General Services Administration
2020-11-18,Office of Government-wide Policy,General Services Administration,Elizabeth Fahey,RTF
2020-11-18,Office of Government-wide Policy,General Services Administration,Elizabeth Fahey,building
2020-11-18,Office of Government-wide Policy,General Services Administration,Elizabeth Fahey,civilian
2020-11-18,Office of Government-wide Policy,General Services Administration,Elizabeth Fahey,land
2020-11-18,Office of Government-wide Policy,General Services Administration,Elizabeth Fahey,office
2020-11-18,Office of Government-wide Policy,General Services Administration,Elizabeth Fahey,real property
2020-11-18,Office of Government-wide Policy,General Services Administration,Elizabeth Fahey,reduce the footprint
2020-11-18,Office of Government-wide Policy,General Services Administration,Elizabeth Fahey,structure
2020-11-18,Office of Government-wide Policy,General Services Administration,Elizabeth Fahey,warehouse
2020-11-18,Office of Government-wide Policy,General Services Administration,Elizabeth Fahey,<nil>
2015-05-19,General Services Administration,,Patrick Sok Son,City Pair Program
2015-05-19,General Services Administration,,Patrick Sok Son,<nil>
2017-10-14,General Services Administration,,Hyon Kim,Data
2017-10-14,General Services Administration,,Hyon Kim,Data.gov
2017-10-14,General Services Administration,,Hyon Kim,metrics
2017-10-14,General Services Administration,,Hyon Kim,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Networx Telecommunications
2019-06-12,General Services Administration,,Toni L Holloway,telecommunications
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Networx Telecommunications
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,networx business volume
2019-06-12,General Services Administration,,Toni L Holloway,revenue
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Networx Telecommunications
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Networx Telecommunications
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Networx Telecommunications
2019-06-12,General Services Administration,,Toni L Holloway,telecommunications
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Networx Telecommunications
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2022-08-01T12:54:47.495Z,General Services Administration,,Tom Uba,building
2022-08-01T12:54:47.495Z,General Services Administration,,Tom Uba,gsa
2022-08-01T12:54:47.495Z,General Services Administration,,Tom Uba,owned
2022-08-01T12:54:47.495Z,General Services Administration,,Tom Uba,property
2022-08-01T12:54:47.495Z,General Services Administration,,Tom Uba,real estate
2022-08-01T12:54:47.495Z,General Services Administration,,Tom Uba,real property
2022-08-01T12:54:47.495Z,General Services Administration,,Tom Uba,<nil>
2022-08-01T13:10:15.814Z,General Services Administration,,Tom Uba,building
2022-08-01T13:10:15.814Z,General Services Administration,,Tom Uba,gsa
2022-08-01T13:10:15.814Z,General Services Administration,,Tom Uba,owned
2022-08-01T13:10:15.814Z,General Services Administration,,Tom Uba,property
2022-08-01T13:10:15.814Z,General Services Administration,,Tom Uba,real estate
2022-08-01T13:10:15.814Z,General Services Administration,,Tom Uba,real property
2022-08-01T13:10:15.814Z,General Services Administration,,Tom Uba,<nil>
2020-11-18,General Services Administration,,Toni L Holloway,Contract
2020-11-18,General Services Administration,,Toni L Holloway,Networx Telecommunications
2020-11-18,General Services Administration,,Toni L Holloway,Telecommunications
2020-11-18,General Services Administration,,Toni L Holloway,<nil>
2017-05-08,General Services Administration,,David W Orcutt,Industrial Funding Fee
2017-05-08,General Services Administration,,David W Orcutt,<nil>
2009-01-31,General Services Administration,,John P Andre,Federal acquisition workforce report
2009-01-31,General Services Administration,,John P Andre,Federal acquisition workforce statistics
2009-01-31,General Services Administration,,John P Andre,<nil>
2013-09-30,General Services Administration,,Jerome Charles Bristow,CPP
2013-09-30,General Services Administration,,Jerome Charles Bristow,City Pair Program
2013-09-30,General Services Administration,,Jerome Charles Bristow,Travel
2013-09-30,General Services Administration,,Jerome Charles Bristow,<nil>
2016-02-23,General Services Administration,,Norma H Tolson,Credit Card
2016-02-23,General Services Administration,,Norma H Tolson,purchase card
2016-02-23,General Services Administration,,Norma H Tolson,travel card
2016-02-23,General Services Administration,,Norma H Tolson,<nil>
2016-01-07,General Services Administration,,Russell G O'Neill,Blog
2016-01-07,General Services Administration,,Russell G O'Neill,Consumer
2016-01-07,General Services Administration,,Russell G O'Neill,Services in Spanish
2016-01-07,General Services Administration,,Russell G O'Neill,government benefits
2016-01-07,General Services Administration,,Russell G O'Neill,government information
2016-01-07,General Services Administration,,Russell G O'Neill,government services
2016-01-07,General Services Administration,,Russell G O'Neill,news
2016-01-07,General Services Administration,,Russell G O'Neill,<nil>
2016-01-07,General Services Administration,,Russell G O'Neill,Blog
2016-01-07,General Services Administration,,Russell G O'Neill,Consumer
2016-01-07,General Services Administration,,Russell G O'Neill,government benefits
2016-01-07,General Services Administration,,Russell G O'Neill,government information
2016-01-07,General Services Administration,,Russell G O'Neill,government services
2016-01-07,General Services Administration,,Russell G O'Neill,news
2016-01-07,General Services Administration,,Russell G O'Neill,<nil>
2015-09-04,General Services Administration,,Usha Gopal,Award
2015-09-04,General Services Administration,,Usha Gopal,Contracts
2015-09-04,General Services Administration,,Usha Gopal,Quote
2015-09-04,General Services Administration,,Usha Gopal,Schedules
2015-09-04,General Services Administration,,Usha Gopal,e-Buy
2015-09-04,General Services Administration,,Usha Gopal,<nil>
2024-11-05T16:01:29.980Z,General Services Administration,,John P Andre,Federal acquisition workforce report
2024-11-05T16:01:29.980Z,General Services Administration,,John P Andre,Federal acquisition workforce statistics
2024-11-05T16:01:29.980Z,General Services Administration,,John P Andre,<nil>
2016-01-21,General Services Administration,,Usha Gopal,Award
2016-01-21,General Services Administration,,Usha Gopal,Contracts
2016-01-21,General Services Administration,,Usha Gopal,Procurement
2016-01-21,General Services Administration,,Usha Gopal,Quote
2016-01-21,General Services Administration,,Usha Gopal,RFQ
2016-01-21,General Services Administration,,Usha Gopal,Schedules
2016-01-21,General Services Administration,,Usha Gopal,e-Buy
2016-01-21,General Services Administration,,Usha Gopal,<nil>
2017-05-08,General Services Administration,,David W Orcutt,Acquisition
2017-05-08,General Services Administration,,David W Orcutt,Instructional Letters
2017-05-08,General Services Administration,,David W Orcutt,<nil>
2018-01-09,General Services Administration,,Bob Maslyn,FedBizOpps
2018-01-09,General Services Administration,,Bob Maslyn,Federal Buyers
2018-01-09,General Services Administration,,Bob Maslyn,procurement
2018-01-09,General Services Administration,,Bob Maslyn,<nil>
2015-11-16,General Services Administration,,David W Orcutt,Balanced Scorecard Perspectives
2015-11-16,General Services Administration,,David W Orcutt,Customer
2015-11-16,General Services Administration,,David W Orcutt,Q-Federal Acquisition Service performance measures
2015-11-16,General Services Administration,,David W Orcutt,financial
2015-11-16,General Services Administration,,David W Orcutt,human capital
2015-11-16,General Services Administration,,David W Orcutt,internal processes and technology
2015-11-16,General Services Administration,,David W Orcutt,stakeholder
2015-11-16,General Services Administration,,David W Orcutt,<nil>
2015-11-16,General Services Administration,,Darlene S Meskell,American Job Center
2015-11-16,General Services Administration,,Darlene S Meskell,Job
2015-11-16,General Services Administration,,Darlene S Meskell,Resource Center
2015-11-16,General Services Administration,,Darlene S Meskell,<nil>
2014-11-11,General Services Administration,,Vivi D Tran-Chu,Agency Financial Report AFR
2014-11-11,General Services Administration,,Vivi D Tran-Chu,Annual Performance Reports
2014-11-11,General Services Administration,,Vivi D Tran-Chu,Citizens Reports
2014-11-11,General Services Administration,,Vivi D Tran-Chu,Performance and Accountability Reports PAR
2014-11-11,General Services Administration,,Vivi D Tran-Chu,<nil>
2016-02-23,General Services Administration,,Norma H Tolson,Credit Card
2016-02-23,General Services Administration,,Norma H Tolson,Travel Card
2016-02-23,General Services Administration,,Norma H Tolson,<nil>
2020-12-22,General Services Administration,,David W Orcutt,FAS
2020-12-22,General Services Administration,,David W Orcutt,GSA
2020-12-22,General Services Administration,,David W Orcutt,Industrial Funding Fee
2020-12-22,General Services Administration,,David W Orcutt,Instructional Letters
2020-12-22,General Services Administration,,David W Orcutt,Interactive
2020-12-22,General Services Administration,,David W Orcutt,<nil>
2016-02-23,General Services Administration,,Michael J Wano,FSSI
2016-02-23,General Services Administration,,Michael J Wano,Print Management
2016-02-23,General Services Administration,,Michael J Wano,<nil>
2018-10-09,General Services Administration,,Bill Shah,Alterations
2018-10-09,General Services Administration,,Bill Shah,Building
2018-10-09,General Services Administration,,Bill Shah,Construction
2018-10-09,General Services Administration,,Bill Shah,Findings
2018-10-09,General Services Administration,,Bill Shah,Fire
2018-10-09,General Services Administration,,Bill Shah,Interactive
2018-10-09,General Services Administration,,Bill Shah,OSHA
2018-10-09,General Services Administration,,Bill Shah,SEM
2018-10-09,General Services Administration,,Bill Shah,Safety
2018-10-09,General Services Administration,,Bill Shah,Survey
2018-10-09,General Services Administration,,Bill Shah,repairs
2018-10-09,General Services Administration,,Bill Shah,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Networx
2019-06-12,General Services Administration,,Toni L Holloway,telecommunications.
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2010-08-09,General Services Administration,,Usha Gopal,GSA contract administration and fee management
2010-08-09,General Services Administration,,Usha Gopal,Schedule Sales Query
2010-08-09,General Services Administration,,Usha Gopal,sales data report
2010-08-09,General Services Administration,,Usha Gopal,sales volume figures
2010-08-09,General Services Administration,,Usha Gopal,<nil>
2021-03-09T13:48:49.623Z,General Services Administration,,Toni L Holloway,Networx
2021-03-09T13:48:49.623Z,General Services Administration,,Toni L Holloway,Parent
2021-03-09T13:48:49.623Z,General Services Administration,,Toni L Holloway,Telecommunications
2021-03-09T13:48:49.623Z,General Services Administration,,Toni L Holloway,<nil>
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Agricultural Equipment and Supplies
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Aircraft and Aircraft Parts
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Artifacts Jewelry and Exotic Collectibles
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Boats and Marine Equipment
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Communication Equipment
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Construction Equipment
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Electrical and Electronic Equipment and Components
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Fire Trucks and Fire Fighting Equipment
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Hand Tools and Shop Equipment
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Household and Personal
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Industrial Machinery
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Lab Equipment
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Medical Dental and Veterinary Equipment and Supplies
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Miscellaneous
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Motorcycles and Bicycles
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,NASA Shuttle and Hubble
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Office Equipment and Supplies
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Photographic Equipment
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Trailers Tractors and Manufactured Housing
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,Vehichles
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,furniture
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,real estate
2022-02-02T17:44:18.543Z,General Services Administration,,Mike Wycoff,<nil>
2014-05-29,General Services Administration,,Ammie Nicole Farraj-Feijoo,API
2014-05-29,General Services Administration,,Ammie Nicole Farraj-Feijoo,USASearch
2014-05-29,General Services Administration,,Ammie Nicole Farraj-Feijoo,<nil>
2016-01-21,General Services Administration,,Usha Gopal,Award
2016-01-21,General Services Administration,,Usha Gopal,Contracts
2016-01-21,General Services Administration,,Usha Gopal,Procurement
2016-01-21,General Services Administration,,Usha Gopal,Quote
2016-01-21,General Services Administration,,Usha Gopal,RFQ
2016-01-21,General Services Administration,,Usha Gopal,Schedules
2016-01-21,General Services Administration,,Usha Gopal,e-Buy
2016-01-21,General Services Administration,,Usha Gopal,<nil>
2022-02-17T19:48:14.134Z,General Services Administration,,vehicle.policy@gsa.gov,FAST report
2022-02-17T19:48:14.134Z,General Services Administration,,vehicle.policy@gsa.gov,federal fleet
2022-02-17T19:48:14.134Z,General Services Administration,,vehicle.policy@gsa.gov,federal fleet report
2022-02-17T19:48:14.134Z,General Services Administration,,vehicle.policy@gsa.gov,fleet cost
2022-02-17T19:48:14.134Z,General Services Administration,,vehicle.policy@gsa.gov,fleet inventory
2022-02-17T19:48:14.134Z,General Services Administration,,vehicle.policy@gsa.gov,fleet report
2022-02-17T19:48:14.134Z,General Services Administration,,vehicle.policy@gsa.gov,fleet utilization
2022-02-17T19:48:14.134Z,General Services Administration,,vehicle.policy@gsa.gov,motor vehicle fleet
2022-02-17T19:48:14.134Z,General Services Administration,,vehicle.policy@gsa.gov,motor vehicles
2022-02-17T19:48:14.134Z,General Services Administration,,vehicle.policy@gsa.gov,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Networx
2019-06-12,General Services Administration,,Toni L Holloway,telecommunications.
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2016-02-19,General Services Administration,,Toni L Holloway,Networx Telecommunications
2016-02-19,General Services Administration,,Toni L Holloway,<nil>
2018-12-18,General Services Administration,,Meredith M Whitehead,CCR
2018-12-18,General Services Administration,,Meredith M Whitehead,Contractor
2018-12-18,General Services Administration,,Meredith M Whitehead,DUNS number
2018-12-18,General Services Administration,,Meredith M Whitehead,Entity
2018-12-18,General Services Administration,,Meredith M Whitehead,Grantee
2018-12-18,General Services Administration,,Meredith M Whitehead,Registrant
2018-12-18,General Services Administration,,Meredith M Whitehead,Registration
2018-12-18,General Services Administration,,Meredith M Whitehead,SAM
2018-12-18,General Services Administration,,Meredith M Whitehead,System for Award Management
2018-12-18,General Services Administration,,Meredith M Whitehead,Vendor
2018-12-18,General Services Administration,,Meredith M Whitehead,<nil>
2016-05-10,General Services Administration,,Lorelei Kowalski,Executive Branch
2016-05-10,General Services Administration,,Lorelei Kowalski,<nil>
2024-11-05T16:23:42.111Z,General Services Administration,,Cindy Smith,GSA
2024-11-05T16:23:42.111Z,General Services Administration,,Cindy Smith,General Services Administration
2024-11-05T16:23:42.111Z,General Services Administration,,Cindy Smith,Harvest Source
2024-11-05T16:23:42.111Z,General Services Administration,,Cindy Smith,JSON
2024-11-05T16:23:42.111Z,General Services Administration,,Cindy Smith,Project Open Data
2024-11-05T16:23:42.111Z,General Services Administration,,Cindy Smith,Public Data Listing
2024-11-05T16:23:42.111Z,General Services Administration,,Cindy Smith,<nil>
2013-12-31,General Services Administration,,Vivi D Tran-Chu,AFR
2013-12-31,General Services Administration,,Vivi D Tran-Chu,Agency Financial Report AFR
2013-12-31,General Services Administration,,Vivi D Tran-Chu,Financial
2013-12-31,General Services Administration,,Vivi D Tran-Chu,Savings
2013-12-31,General Services Administration,,Vivi D Tran-Chu,<nil>
2024-03-08T20:17:22.730Z,General Services Administration,,Valerie R Butler,BUILDING_STATUS
2024-03-08T20:17:22.730Z,General Services Administration,,Valerie R Butler,City
2024-03-08T20:17:22.730Z,General Services Administration,,Valerie R Butler,LEASE_EFFECTIVE_DATE
2024-03-08T20:17:22.730Z,General Services Administration,,Valerie R Butler,LEASE_EXPIRATION_DATE
2024-03-08T20:17:22.730Z,General Services Administration,,Valerie R Butler,Latitude
2024-03-08T20:17:22.730Z,General Services Administration,,Valerie R Butler,Lease_Num
2024-03-08T20:17:22.730Z,General Services Administration,,Valerie R Butler,Longitude
2024-03-08T20:17:22.730Z,General Services Administration,,Valerie R Butler,STATE_CD
2024-03-08T20:17:22.730Z,General Services Administration,,Valerie R Butler,STREET_ADDRESS
2024-03-08T20:17:22.730Z,General Services Administration,,Valerie R Butler,Zipcode5
2024-03-08T20:17:22.730Z,General Services Administration,,Valerie R Butler,geospatial
2024-03-08T20:17:22.730Z,General Services Administration,,Valerie R Butler,<nil>
2016-03-04,General Services Administration,,Richard G Brooks,API
2016-03-04,General Services Administration,,Richard G Brooks,developers
2016-03-04,General Services Administration,,Richard G Brooks,government
2016-03-04,General Services Administration,,Richard G Brooks,web service
2016-03-04,General Services Administration,,Richard G Brooks,<nil>
2019-07-25,General Services Administration,,Shirl R Tillman,Agency
2019-07-25,General Services Administration,,Shirl R Tillman,Cost
2019-07-25,General Services Administration,,Shirl R Tillman,Facility
2019-07-25,General Services Administration,,Shirl R Tillman,LCD
2019-07-25,General Services Administration,,Shirl R Tillman,Natural Gas
2019-07-25,General Services Administration,,Shirl R Tillman,Usage Data.
2019-07-25,General Services Administration,,Shirl R Tillman,Utilities
2019-07-25,General Services Administration,,Shirl R Tillman,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Networx
2019-06-12,General Services Administration,,Toni L Holloway,telecommunications.
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2016-01-20,General Services Administration,,Norma H Tolson,Credit Card
2016-01-20,General Services Administration,,Norma H Tolson,travel card
2016-01-20,General Services Administration,,Norma H Tolson,<nil>
2016-01-21,General Services Administration,,Usha Gopal,Award
2016-01-21,General Services Administration,,Usha Gopal,Contracts
2016-01-21,General Services Administration,,Usha Gopal,Quote
2016-01-21,General Services Administration,,Usha Gopal,RFQ
2016-01-21,General Services Administration,,Usha Gopal,Schedules
2016-01-21,General Services Administration,,Usha Gopal,e-Buy
2016-01-21,General Services Administration,,Usha Gopal,<nil>
2016-01-21,General Services Administration,,Usha Gopal,Award
2016-01-21,General Services Administration,,Usha Gopal,Contracts
2016-01-21,General Services Administration,,Usha Gopal,Procurement
2016-01-21,General Services Administration,,Usha Gopal,Quote
2016-01-21,General Services Administration,,Usha Gopal,RFQ
